user_id	H	SD	SH	PD	type_player_numerical
457	1.0100	0.2600	1.0100	0.2600	0.3334
458	0.2100	0.6767	0.3433	0.5100	1.0001
459	1.0100	0.6767	0.4100		
460	1.0100	1.0100	1.0100	1.0100	0.3334
461	1.0100	0.0100	0.2600	0.0100	0.0001
462	0.5100	0.0100	0.6767	0.5100	1.0001
463	1.0100	0.5814	1.0100	0.0100	0.0001
464	0.6767	0.5100	0.0100	0.3433	1.0001
465	0.0100	0.5100	1.0100	0.6767	1.0001
466	1.0100	0.0100	0.3433	0.7600	0.3334
467	1.0100	0.4100	1.0100	0.0100	0.0001
468	0.5100	0.2600	0.0100		
469	0.7600	1.0100	0.5100	0.6100	1.0001
470	0.3433	0.2600	0.5100	1.0100	1.0001
471	1.0100	0.6767	0.6350	0.0100	0.0001
472	1.0100	0.5100	0.0100	0.5814	0.3334
473	0.5656	0.6100		1.0100	1.0001
474	0.3433	0.0100	0.0100	0.0100	0.6667
475	1.0100	0.2600	0.0100	0.0100	0.0001
476	0.7600	0.0100	0.2600	0.0100	0.6667
477	0.8100	0.4100	0.5100	0.0100	0.6667
478	0.8671	0.0100	0.0100	0.2600	1.0001
479	0.3433	0.0100	0.7600	0.5100	1.0001
480	1.0100	0.5100	0.3433	0.0100	0.0001
481		0.5100	1.0100	0.2600	
482	0.6100	0.2100	1.0100	1.0100	1.0001
483		0.3433	0.2957	0.0100	
484		0.0100	0.0100	0.0100	
485	0.6767	0.0100	0.5100	0.2600	1.0001
486	1.0100	0.5100	1.0100	0.3433	0.3334
487	1.0100	0.7600	0.5100	0.2600	0.3334
488	0.5100	0.0100	0.0100	0.0100	0.6667
489	1.0100	0.3433	1.0100	0.0100	0.0001
490	1.0100	0.5100	1.0100	0.8100	0.3334
491	1.0100	0.3433	0.0100	0.0100	0.0001
492	1.0100	0.5100	0.7600	1.0100	0.3334
493	1.0100	0.0100	0.6767	0.0100	0.0001
494	0.5100	1.0100	0.3433	1.0100	1.0001
495	0.0100	0.5100	0.7600	0.5100	1.0001
496	1.0100	0.7600	1.0100	0.5100	0.3334
497	1.0100	1.0100	0.6100	0.0100	0.0001
498	0.6767	0.4100	0.6767	0.3433	1.0001
499	1.0100	0.2600	0.0100	0.0100	0.0001
500		0.0100	0.8433	0.2100	
501	1.0100	0.8100	1.0100	0.8100	0.3334
502	0.8433	0.3433	1.0100	0.0100	0.6667
503	0.7600	0.4100	0.4100	0.3433	1.0001
504	1.0100	1.0100	1.0100	1.0100	0.3334
505	0.5100	0.0100	0.0100	0.5100	1.0001
506	0.5100	0.6767	0.0100	0.5100	1.0001
507	1.0100	0.8100	1.0100	0.6767	0.3334
508	1.0100	0.5100	1.0100	0.0100	0.0001
509	1.0100	0.6767	0.5100	0.2600	0.3334
510	1.0100	0.0100	1.0100	0.0100	0.0001
511	0.6767	0.5100	0.0100	0.3433	1.0001
512	0.6100	0.6767		0.0100	0.6667
513	0.6767	0.1767	0.3433		
514	0.7600	0.0100	0.0100	0.0100	0.6667
515	1.0100	0.0100	0.1767	0.0100	0.0001
516	1.0100	0.3433	0.5100	0.5100	0.3334
517	1.0100	0.5100	0.6767	0.0100	0.0001
518	0.2100	0.6767	0.3433	0.0100	0.6667
519	0.6100	0.6767	0.0100	0.0100	0.6667
520	0.3433	0.4100	0.2600	0.5100	1.0001
521	1.0100	0.5100	1.0100	0.0100	0.0001
522	1.0100	0.0100	0.0100	0.0100	0.0001
523	0.6767	0.2600	0.7600	0.0100	0.6667
524	1.0100	0.5814	0.3433	0.5100	0.3334
525	1.0100	0.5100	0.3433	0.6767	0.3334
